nct_id,sponsor_raw,drug_raw,phase,status,condition,start_date,completion_date,sponsor_key,drug_key,ticker,generic_name,brand_name,manufacturer_name,route,product_type,is_public_pharma,sponsor_type
NCT00991952,National Cancer Institute (NCI),irinotecan hydrochloride,PHASE2,COMPLETED,Adenocarcinoma of the Gastroesophageal Junction; Diffuse Adenocarcinoma of the Stomach; Intestinal Adenocarcinoma of the Stomach; Mixed Adenocarcinoma of the Stomach; Recurrent Gastric Cancer; Stage IIIA Gastric Cancer; Stage IIIB Gastric Cancer; Stage IIIC Gastric Cancer; Stage IV Gastric Cancer,2009-09-01,2014-04-01,NATIONAL CANCER INSTITUTE NCI,irinotecan,,IRINOTECAN HYDROCHLORIDE,Irinotecan Hydrochloride 100 mg/5 mL,Armas Pharmaceuticals Inc.,INTRAVENOUS,HUMAN PRESCRIPTION DRUG,False,Academic / medical / govt
NCT00811447,Sanofi,5-fluorouracil,PHASE3,COMPLETED,Stomach Neoplasms,2008-11-01,2012-06-01,SANOFI,5-fluorouracil,SNY,,,,,,True,Public pharma
NCT00811447,Sanofi,Cisplatin,PHASE3,COMPLETED,Stomach Neoplasms,2008-11-01,2012-06-01,SANOFI,cisplatin,SNY,CISPLATIN,Cisplatin,Sagent Pharmaceuticals,INTRAVENOUS,HUMAN PRESCRIPTION DRUG,True,Public pharma
NCT00811447,Sanofi,Docetaxel,PHASE3,COMPLETED,Stomach Neoplasms,2008-11-01,2012-06-01,SANOFI,docetaxel,SNY,DOCETAXEL ANHYDROUS,Docetaxel,"Hospira, Inc.",INTRAVENOUS,HUMAN PRESCRIPTION DRUG,True,Public pharma
NCT02908347,MetrioPharm AG,MP1032,PHASE2,COMPLETED,Psoriasis; Plaque Psoriasis,2016-05-01,2017-02-01,METRIOPHARM,mp1032,,,,,,,False,"Other (biotech, private, etc.)"
NCT02908347,MetrioPharm AG,Placebo,PHASE2,COMPLETED,Psoriasis; Plaque Psoriasis,2016-05-01,2017-02-01,METRIOPHARM,placebo,,,,,,,False,"Other (biotech, private, etc.)"
NCT05993858,"Union Hospital, Tongji Medical College, Huazhong University of Science and Technology",3cycles (Toripalimab + cetuximab),PHASE2,NOT_YET_RECRUITING,Head and Neck Squamous Cell Carcinoma; Neoadjuvant Therapy,2023-10-20,2026-12-20,UNION HOSPITAL TONGJI MEDICAL COLLEGE HUAZHONG UNIVERSITY OF SCIENCE AND TECHNOLOGY,3cycles toripalimab cetuximab,,,,,,,False,Academic / medical / govt
NCT03506048,Emory University,Lenvatinib,PHASE2,TERMINATED,Differentiated Thyroid Gland Carcinoma; Thyroid Gland Follicular Carcinoma; Thyroid Gland Papillary Carcinoma,2019-01-16,2021-06-24,EMORY UNIVERSITY,lenvatinib,,LENVATINIB,Lenvima,Eisai Inc.,ORAL,HUMAN PRESCRIPTION DRUG,False,Academic / medical / govt
NCT00274755,"University of California, San Francisco",chemotherapy,PHASE2,COMPLETED,Brain and Central Nervous System Tumors,2003-11-01,,UNIVERSITY OF CALIFORNIA SAN FRANCIS,chemotherapy,,,,,,,False,Academic / medical / govt
NCT02590055,Samsung Medical Center,gemcitabine/docetaxel combination,PHASE2,UNKNOWN,Carcinoma of Unknown Primary,2015-10-01,2019-09-01,SAMSUNG MEDICAL CENTER,gemcitabine docetaxel combination,,,,,,,False,Academic / medical / govt
NCT04956926,"Shanghai Junshi Bioscience Co., Ltd.",JS201,PHASE1,UNKNOWN,Patients With Advanced Malignant Tumors,2021-07-29,2023-07-07,SHANGHAI JUNSHI BIOSCIENCE,js201,,,,,,,False,"Other (biotech, private, etc.)"
NCT01995578,Memorial Sloan Kettering Cancer Center,low dose 5'-azacitidine,PHASE2,COMPLETED,Myelodysplastic Syndromes (MDS); Acute Myelogenous Leukemia (AML),2013-12-01,2023-09-27,MEMORIAL SLOAN KETTERING CANCER CENTER,low dose 5 -azacitidine,,,,,,,False,Academic / medical / govt
NCT04460508,The First Hospital of Jilin University,Pegylated rhG-CSF,PHASE2,UNKNOWN,Chemotherapy-induced Neutropenia; Lymphoma,2020-12-20,2023-03-20,THE FIRST HOSPITAL OF JILIN UNIVERSITY,pegylated rhg-csf,,,,,,,False,Academic / medical / govt
NCT04460508,The First Hospital of Jilin University,rhG-CSF,PHASE2,UNKNOWN,Chemotherapy-induced Neutropenia; Lymphoma,2020-12-20,2023-03-20,THE FIRST HOSPITAL OF JILIN UNIVERSITY,rhg-csf,,,,,,,False,Academic / medical / govt
NCT00060476,Merck Sharp & Dohme LLC,rofecoxib,PHASE3,COMPLETED,Prostate Cancer,2003-01-08,2004-12-08,MERCK SHARP DOHME,rofecoxib,MRK,,,,,,True,Public pharma
NCT00060476,Merck Sharp & Dohme LLC,Comparator: placebo (unspecified),PHASE3,COMPLETED,Prostate Cancer,2003-01-08,2004-12-08,MERCK SHARP DOHME,comparator placebo unspecified,MRK,,,,,,True,Public pharma
